"(20, b'caster_back_right_2_joint', 0, 16, 15, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'caster_back_right_2_link', (0.0, 0.0, 1.0), (-0.004920000000000001, -3e-05, -0.010000000000000002), (0.7071067811848163, 0.0, 0.0, 0.7071067811882787), 19)",20
"(21, b'caster_back_left_1_joint', 0, 17, 16, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'caster_back_left_1_link', (0.0, 0.0, 1.0), (-0.17349894, 0.10199891, -0.033538700000000005), (0.0, 0.0, 0.0, 1.0), 0)",21
"(22, b'caster_back_left_2_joint', 0, 18, 17, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'caster_back_left_2_link', (0.0, 0.0, 1.0), (-0.004920000000000001, -3e-05, -0.010000000000000002), (0.7071067811848163, 0.0, 0.0, 0.7071067811882787), 21)",22
"(23, b'torso_fixed_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'torso_fixed_link', (0.0, 0.0, 0.0), (-0.06199894, -1.09e-06, 0.1929613), (0.0, 0.0, 0.0, 1.0), 0)",23
"(24, b'torso_lift_joint', 1, 19, 18, 1, 1000.0, 0.0, 0.0, 0.35, 2000.0, 0.07, b'torso_lift_link', (0.0, 0.0, 1.0), (-0.02435, 0.00464, 0.43799999999999994), (0.0, 0.0, 0.0, 1.0), 23)",24
"(25, b'head_1_joint', 0, 20, 19, 1, 0.5, 1.0, -1.308996939, 1.308996939, 5.197, 3.0, b'head_1_link', (0.0, 0.0, 1.0), (0.13838999999999999, 0.00116, 0.17334), (0.0, 0.0, 0.0, 1.0), 24)",25
"(26, b'head_2_joint', 0, 21, 20, 1, 0.5, 1.0, -1.0471975512, 0.785398163397, 2.77, 3.0, b'head_2_link', (0.0, 0.0, 1.0), (0.01008, -0.00237, 0.02571000000000001), (-0.7071067811848163, 0.0, 0.0, 0.7071067811882787), 25)",26
"(27, b'xtion_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'xtion_link', (0.0, 0.0, 0.0), (0.043800000000000006, 0.024580000000000005, -0.00022), (0.7071067811848163, 0.0, 0.0, 0.7071067811882787), 26)",27
"(28, b'xtion_optical_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'xtion_optical_frame', (0.0, 0.0, 0.0), (0.00936, 3e-05, 0.00273), (0.5, -0.49999999999755174, 0.5, 0.5000000000024483), 27)",28
"(29, b'xtion_orbbec_aux_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'xtion_orbbec_aux_joint_frame', (0.0, 0.0, 0.0), (0.00936, 3e-05, 0.00273), (0.0, 0.0, 0.0, 1.0), 27)",29
